"","X","sid","surveyls_title","active","startdate","expires","completed","all","date"
"1",47,28553,"Badanie zespołu prof. Katarzyny Paprzyckiej","Y",NA,NA,1306,1460,"Wed Aug 19 16:18:34 2015"
"2",52,249562,"Drugie badanie zespołu prof. Katarzyny Paprzyckiej","Y",NA,NA,481,561,"Wed Aug 19 16:18:34 2015"
"3",53,169464,"Co myślimy o działaniach?","Y",NA,NA,1325,2790,"Wed Aug 19 16:18:34 2015"
"4",47,28553,"Badanie zespołu prof. Katarzyny Paprzyckiej","Y",NA,NA,1306,1460,"Mon Aug  3 17:29:28 2015"
"5",52,249562,"Drugie badanie zespołu prof. Katarzyny Paprzyckiej","Y",NA,NA,466,546,"Mon Aug  3 17:29:28 2015"
"6",53,169464,"Co myślimy o działaniach?","Y",NA,NA,1301,2724,"Mon Aug  3 17:29:28 2015"
"7",47,28553,"Badanie zespołu prof. Katarzyny Paprzyckiej","Y",NA,NA,1306,1460,"Mon Aug  3 17:24:57 2015"
"8",52,249562,"Drugie badanie zespołu prof. Katarzyny Paprzyckiej","Y",NA,NA,466,546,"Mon Aug  3 17:24:57 2015"
"9",53,169464,"Co myślimy o działaniach?","Y",NA,NA,1301,2724,"Mon Aug  3 17:24:57 2015"
"10",47,28553,"Badanie zespołu prof. Katarzyny Paprzyckiej","Y",NA,NA,1306,1460,"Mon Aug  3 17:21:08 2015"
"11",52,249562,"Drugie badanie zespołu prof. Katarzyny Paprzyckiej","Y",NA,NA,466,546,"Mon Aug  3 17:21:08 2015"
"12",53,169464,"Co myślimy o działaniach?","Y",NA,NA,1301,2724,"Mon Aug  3 17:21:08 2015"
"13",47,28553,"Badanie zespołu prof. Katarzyny Paprzyckiej","Y",NA,NA,1306,1460,"Mon Aug  3 17:19:01 2015"
"14",52,249562,"Drugie badanie zespołu prof. Katarzyny Paprzyckiej","Y",NA,NA,466,546,"Mon Aug  3 17:19:01 2015"
"15",53,169464,"Co myślimy o działaniach?","Y",NA,NA,1301,2724,"Mon Aug  3 17:19:01 2015"
"16",47,28553,"Badanie zespołu prof. Katarzyny Paprzyckiej","Y",NA,NA,1306,1460,"Mon Aug  3 17:17:25 2015"
"17",52,249562,"Drugie badanie zespołu prof. Katarzyny Paprzyckiej","Y",NA,NA,466,546,"Mon Aug  3 17:17:25 2015"
"18",53,169464,"Co myślimy o działaniach?","Y",NA,NA,1301,2724,"Mon Aug  3 17:17:25 2015"
"19",47,28553,"Badanie zespołu prof. Katarzyny Paprzyckiej","Y",NA,NA,1306,1460,"Mon Aug  3 16:14:30 2015"
"20",52,249562,"Drugie badanie zespołu prof. Katarzyny Paprzyckiej","Y",NA,NA,466,546,"Mon Aug  3 16:14:30 2015"
"21",53,169464,"Co myślimy o działaniach?","Y",NA,NA,1301,2724,"Mon Aug  3 16:14:30 2015"
"22",47,28553,"Badanie zespołu prof. Katarzyny Paprzyckiej","Y",NA,NA,1306,1460,"Mon Aug  3 16:12:07 2015"
"23",52,249562,"Drugie badanie zespołu prof. Katarzyny Paprzyckiej","Y",NA,NA,466,546,"Mon Aug  3 16:12:07 2015"
"24",53,169464,"Co myślimy o działaniach?","Y",NA,NA,1301,2724,"Mon Aug  3 16:12:07 2015"
